# Reference solar spectrum, disc centre.
# Delbouille, Neven & Roland (1972), Jungfraujoch; served by BASS2000
# (bass2000.obspm.fr).  Intensity is linear, continuum = 10000.
wavelength_nm,intensity,label
430.7740,798,Ca G
430.7900,446,Fe G
430.8900,2859,
430.9900,4608,
431.0900,4492,
431.1900,7917,
431.2900,1919,
431.3900,8728,
431.4900,6926,
431.5900,9127,
431.6900,9309,
431.7900,9718,
431.8900,9200,
431.9900,9744,
432.0900,6698,
432.1900,9737,
432.2900,9228,
432.3900,3863,
432.4900,6994,
432.5900,2234,
432.6900,6469,
432.7900,3304,
432.8900,9399,
432.9900,8641,
433.0900,8097,
433.1900,9746,
433.2900,6112,
433.3900,7695,
433.4900,8674,
433.5900,8850,
433.6900,7736,
433.7900,1621,
433.8900,7281,
433.9900,5628,
434.0470,1674,Hgamma G'
434.1470,6152,
434.2470,7997,
434.3470,6453,
434.4470,3212,
434.5470,9268,
434.6470,9109,
434.7470,9066,
434.8470,8930,
434.9470,9818,
435.0470,9431,
435.1470,8592,
435.2470,8825,
435.3470,7994,
435.4470,7146,
435.5470,9484,
435.6470,9766,
435.7470,8126,
435.8470,4920,
435.9470,5404,
436.0470,5023,
436.1470,9809,
436.2470,8197,
436.3470,7233,
436.4470,9761,
436.5470,8870,
436.6470,5701,
436.7470,6720,
436.8470,9749,
436.9470,8178,
437.0470,9798,
437.1470,7074,
437.2470,8744,
437.3470,9433,
437.4470,1242,
437.5470,7949,
437.6470,9442,
437.7470,9428,
437.8470,8432,
437.9470,9742,
438.0470,6713,
438.1470,9369,
438.2470,7085,
438.3470,1486,
438.3550,381,Fe e
438.4550,5066,
438.5550,9040,
438.6550,9145,
438.7550,6601,
438.8550,8701,
438.9550,7511,
439.0550,5509,
439.1550,7300,
439.2550,7327,
439.3550,5678,
439.4550,9746,
439.5550,7189,
439.6550,9676,
439.7550,9823,
439.8550,8199,
439.9550,7830,
440.0550,5564,
440.1550,1287,
440.2550,9648,
440.3550,8813,
440.4550,3168,
440.5550,8341,
440.6550,8527,
440.7550,8715,
440.8550,4605,
440.9550,6886,
441.0550,5464,
441.1550,9700,
441.2550,9834,
441.3550,8129,
441.4550,7661,
441.5550,1548,
441.6550,8692,
441.7550,8985,
441.8550,9303,
441.9550,9646,
442.0550,8845,
442.1550,6840,
442.2550,1824,
442.3550,9836,
442.4550,7901,
442.5550,7281,
442.6550,9703,
442.7550,9353,
442.8550,6678,
442.9550,9791,
443.0550,6161,
443.1550,9349,
443.2550,4877,
443.3550,9166,
443.4550,9238,
443.5550,7775,
443.6550,9435,
443.7550,6801,
443.8550,9566,
443.9550,9781,
444.0550,8650,
444.1550,7842,
444.2550,9246,
444.3550,9822,
444.4550,3142,
444.5550,9658,
444.6550,9772,
444.7550,8868,
444.8550,9818,
444.9550,9357,
445.0550,7824,
445.1550,3664,
445.2550,9139,
445.3550,9476,
445.4550,8331,
445.5550,9810,
445.6550,8100,
445.7550,2807,
445.8550,5683,
445.9550,9451,
446.0550,9480,
446.1550,8324,
446.2550,9225,
446.3550,8182,
446.4550,9215,
446.5550,9740,
446.6550,1090,
446.7550,8431,
446.8550,4158,
446.9550,6489,
447.0550,7875,
447.1550,8613,
447.2550,9713,
